C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
1   |HD 200253                          |*  |21 01 12.8644903894 +36 01 33.647152708|     ~| 7.000| 5.997|     ~|     ~|G5III                |  22 |   0
2   |* tau Cyg                          |dS*|21 14 47.49252 +38 02 43.1441          | 4.140| 4.120| 3.730| 3.38 | 3.14 |F2IV                 | 250 |   0
3   |* tau Cyg A                        |PM*|21 14 47.5031558023 +38 02 43.610974412|     ~| 4.23 | 3.83 |     ~|     ~|~                    |  26 |   0
4   |* 61 Cyg A                         |BY*|21 06 53.9396100677 +38 44 57.897024357| 7.50 | 6.39 | 5.21 | 4.19 | 3.54 |K5V                  | 950 |   0
5   |* sig Cyg                          |sg*|21 17 24.9524404 +39 23 40.852798      | 3.98 | 4.37 | 4.24 | 4.06 | 3.92 |A0Ia                 | 250 |   0
6   |V* V1334 Cyg                       |cC*|21 19 22.1772463169 +38 14 14.867388528|     ~| 6.364| 5.882|     ~|     ~|F1II+B7.0V           | 174 |   0
7   |* 74 Cyg                           |*  |21 36 56.9705050843 +40 24 48.581844298|     ~| 5.220| 5.035|     ~|     ~|A3Vn                 |  75 |   0
8   |HD 206749                          |V* |21 43 06.4707261797 +41 09 17.898182462|     ~| 7.106| 5.505|     ~|     ~|M2IIIbCa1            |  35 |   0
9   |* 77 Cyg                           |SB*|21 42 22.9588733 +41 04 37.273655      |     ~| 5.777| 5.726|     ~|     ~|A0V+A0V              | 113 |   0
10  |HD 206267A                         |** |21 38 57.61 +57 29 20.5                |     ~|     ~| 5.62 |     ~|     ~|O6.5V((f))+O9/B0V    |  39 |   0
11  |HD 211211                          |PM*|22 14 44.3627213601 +42 57 14.027775457| 5.680| 5.720| 5.720|     ~|     ~|A2Vnn                |  49 |   0
12  |* 6 Lac                            |SB*|22 30 29.2600453 +43 07 24.156435      | 3.68 | 4.400| 4.511|     ~|     ~|B2IV                 | 148 |   0
13  |HD 215664                          |dS*|22 46 10.2217937768 +44 32 45.794255605| 6.250| 6.180| 5.840|     ~|     ~|F0III-IV             |  49 |   0
14  |* 11 Lac                           |PM*|22 40 30.8588068 +44 16 34.704241      | 7.15 | 5.79 | 4.46 | 3.54 | 2.86 |K2.5III              | 123 |   0
15  |HD 216608                          |** |22 53 40.1607383513 +44 44 56.958518468|     ~| 6.075| 5.808|     ~|     ~|kA3VmF2III/IVp       | 126 |   0
16  |HD 216608A                         |SB*|22 53 40.156 +44 44 56.98              |     ~| 6.193| 5.940|     ~|     ~|A3Vm                 |  10 |   0
17  |* 4 And                            |*  |23 07 39.2668163811 +46 23 14.032490777|     ~| 6.702| 5.294|     ~|     ~|K5III                |  57 |   0
18  |* psi And                          |** |23 46 02.0469653187 +46 25 12.972436405|     ~| 6.064| 4.966|     ~|     ~|G3Ib-II              | 175 |   0
19  |* lam And                          |RS*|23 37 33.8426114 +46 27 29.337984      | 5.54 | 4.84 | 3.82 | 3.04 | 2.47 |G8IVk                | 640 |   0
20  |HD 224165                          |*  |23 55 33.4754811441 +47 21 20.892776880|     ~| 7.161| 5.989|     ~|     ~|G8Ib                 |  43 |   0
