Numeric 	Standard name 	Cond. 	Extended explanation 
00.00.00.00      	Unknown     	?      	Object of unknown nature     
00.02.00.00      	  ·  Transient     	ev      	transient event     
			
01.00.00.00      	Radio     	Rad     	Radio-source     
01.02.00.00      	  ·  Radio(m)     	mR      	metric Radio-source     
01.04.00.00      	  ·  Radio(cm)     	cm      	centimetric Radio-source     
01.06.00.00      	  ·  Radio(mm)     	mm      	millimetric Radio-source     
01.08.00.00      	  ·  Radio(sub-mm)     	smm     	sub-millimetric source     
01.11.00.00      	  ·  HI     	HI      	HI (21cm) source     
01.12.00.00      	  ·  radioBurst     	rB      	radio Burst     
01.14.00.00      	  ·  Maser     	Mas     	Maser     
			
02.00.00.00      	IR     	IR      	Infra-Red source     
02.02.00.00      	  ·  IR>30um     	FIR     	Far-IR source (λ >= 30 µm)     
02.04.00.00      	  ·  IR<10um     	NIR     	Near-IR source (λ < 10 µm)     
			
03.00.00.00      	Red     	red     	Very red source     
03.03.00.00      	  ·  RedExtreme     	ERO     	Extremely Red Object     
			
04.00.00.00      	Blue     	blu     	Blue object     
			
05.00.00.00      	UV     	UV      	UV-emission source     
			
06.00.00.00      	X     	X      	X-ray source     
06.02.00.00      	  ·  ULX?     	UX?     	Ultra-luminous X-ray candidate     
06.10.00.00      	  ·  ULX     	ULX     	Ultra-luminous X-ray source     
			
07.00.00.00      	gamma     	gam     	gamma-ray source     
07.03.00.00      	  ·  gammaBurst     	gB      	gamma-ray Burst     
			
08.00.00.00      	Inexistent     	err     	Not an object (error, artefact, ...)     
			
09.00.00.00      	Gravitation     	grv     	Gravitational Source     
09.03.00.00      	  ·  LensingEv     	Lev     	(Micro)Lensing Event     
09.06.00.00      	  ·  Candidate_LensSystem     	LS?     	Possible gravitational lens System     
09.07.00.00      	  ·  Candidate_Lens     	Le?     	Possible gravitational lens     
09.08.00.00      	  ·  Possible_lensImage     	LI?     	Possible gravitationally lensed image     
09.09.00.00      	  ·  GravLens     	gLe     	Gravitational Lens     
09.11.00.00      	  ·  GravLensSystem     	gLS     	Gravitational Lens System (lens+images)     
09.12.00.00      	  ·  GravWaveEvent     	GWE     	Gravitational Wave Event     
			
10.00.00.00      	Candidates     	..?     	Candidate objects     
10.01.00.00      	  ·  Possible_G     	G?      	Possible Galaxy     
10.02.00.00      	  ·  Possible_SClG     	SC?     	Possible Supercluster of Galaxies     
10.03.00.00      	  ·  Possible_ClG     	C?G     	Possible Cluster of Galaxies     
10.04.00.00      	  ·  Possible_GrG     	Gr?     	Possible Group of Galaxies     
10.06.00.00      	  ·  Possible_As*     	As?     	     
10.11.00.00      	  ·  Candidate_**     	**?     	Physical Binary Candidate     
10.11.01.00      	  ·  ·  Candidate_EB*     	EB?     	Eclipsing Binary Candidate     
10.11.10.00      	  ·  ·  Candidate_Symb*     	Sy?     	Symbiotic Star Candidate     
10.11.11.00      	  ·  ·  Candidate_CV*     	CV?     	Cataclysmic Binary Candidate     
10.11.11.06      	  ·  ·  ·  Candidate_Nova     	No?     	Nova Candidate     
10.11.12.00      	  ·  ·  Candidate_XB*     	XB?     	X-ray binary Candidate     
10.11.12.02      	  ·  ·  ·  Candidate_LMXB     	LX?     	Low-Mass X-ray binary Candidate     
10.11.12.03      	  ·  ·  ·  Candidate_HMXB     	HX?     	High-Mass X-ray binary Candidate     
10.12.00.00      	  ·  Candidate_Pec*     	Pec?     	Possible Peculiar Star     
10.12.01.00      	  ·  ·  Candidate_YSO     	Y*?     	Young Stellar Object Candidate     
10.12.02.00      	  ·  ·  Candidate_pMS*     	pr?     	Pre-main sequence Star Candidate     
10.12.02.03      	  ·  ·  ·  Candidate_TTau*     	TT?     	T Tau star Candidate     
10.12.03.00      	  ·  ·  Candidate_C*     	C*?     	Possible Carbon Star     
10.12.04.00      	  ·  ·  Candidate_S*     	S*?     	Possible S Star     
10.12.05.00      	  ·  ·  Candidate_OH     	OH?     	Possible Star with envelope of OH/IR type     
10.12.06.00      	  ·  ·  Candidate_CH     	CH?     	Possible Star with envelope of CH type     
10.12.07.00      	  ·  ·  Candidate_WR*     	WR?     	Possible Wolf-Rayet Star     
10.12.08.00      	  ·  ·  Candidate_Be*     	Be?     	Possible Be Star     
10.12.09.00      	  ·  ·  Candidate_Ae*     	Ae?     	Possible Herbig Ae/Be Star     
10.12.11.00      	  ·  ·  Candidate_HB*     	HB?     	Possible Horizontal Branch Star     
10.12.11.02      	  ·  ·  ·  Candidate_RRLyr     	RR?     	Possible Star of RR Lyr type     
10.12.11.03      	  ·  ·  ·  Candidate_Cepheid     	Ce?     	Possible Cepheid     
10.12.12.00      	  ·  ·  Candidate_RGB*     	RB?     	Possible Red Giant Branch star     
10.12.13.00      	  ·  ·  Candidate_SG*     	sg?     	Possible Supergiant star     
10.12.13.03      	  ·  ·  ·  Candidate_RSG*     	s?r     	Possible Red supergiant star     
10.12.13.04      	  ·  ·  ·  Candidate_YSG*     	s?y     	Possible Yellow supergiant star     
10.12.13.05      	  ·  ·  ·  Candidate_BSG*     	s?b     	Possible Blue supergiant star     
10.12.14.00      	  ·  ·  Candidate_AGB*     	AB?     	Asymptotic Giant Branch Star candidate     
10.12.14.01      	  ·  ·  ·  Candidate_LP*     	LP?     	Long Period Variable candidate     
10.12.14.02      	  ·  ·  ·  Candidate_Mi*     	Mi?     	Mira candidate     
10.12.14.03      	  ·  ·  ·  Candiate_sr*     	sv?     	Semi-regular variable candidate     
10.12.15.00      	  ·  ·  Candidate_post-AGB*     	pA?     	Post-AGB Star Candidate     
10.12.16.00      	  ·  ·  Candidate_BSS     	BS?     	Candidate blue Straggler Star     
10.12.17.00      	  ·  ·  Candidate_Hsd     	HS?     	Hot subdwarf candidate     
10.12.18.00      	  ·  ·  Candidate_WD*     	WD?     	White Dwarf Candidate     
10.12.20.00      	  ·  ·  Candidate_NS     	N*?     	Neutron Star Candidate     
10.12.22.00      	  ·  ·  Candidate_BH     	BH?     	Black Hole Candidate     
10.12.23.00      	  ·  ·  Candidate_SN*     	SN?     	SuperNova Candidate     
10.12.24.00      	  ·  ·  Candidate_low-mass*     	LM?     	Low-mass star candidate     
10.12.26.00      	  ·  ·  Candidate_brownD*     	BD?     	Brown Dwarf Candidate     
			
12.00.00.00      	multiple_object     	mul     	Composite object     
12.01.00.00      	  ·  Region     	reg     	Region defined in the sky     
12.01.05.00      	  ·  ·  Void     	vid     	Underdense region of the Universe     
12.02.00.00      	  ·  SuperClG     	SCG     	Supercluster of Galaxies     
12.03.00.00      	  ·  ClG     	ClG     	Cluster of Galaxies     
12.04.00.00      	  ·  GroupG     	GrG     	Group of Galaxies     
12.04.05.00      	  ·  ·  Compact_Gr_G     	CGG     	Compact Group of Galaxies     
12.05.00.00      	  ·  PairG     	PaG     	Pair of Galaxies     
12.05.05.00      	  ·  ·  IG     	IG      	Interacting Galaxies     
12.09.00.00      	  ·  Cl*?     	C?*     	Possible (open) star cluster     
12.10.00.00      	  ·  GlCl?     	Gl?     	Possible Globular Cluster     
12.11.00.00      	  ·  Cl*     	Cl*     	Cluster of Stars     
12.11.01.00      	  ·  ·  GlCl     	GlC     	Globular Cluster     
12.11.02.00      	  ·  ·  OpCl     	OpC     	Open (galactic) Cluster     
12.12.00.00      	  ·  Assoc*     	As*     	Association of Stars     
12.12.01.00      	  ·  ·  Stream*     	St*     	Stellar Stream     
12.12.02.00      	  ·  ·  MouvGroup     	MGr     	Moving Group     
12.13.00.00      	  ·  **     	**      	Double or multiple star     
12.13.01.00      	  ·  ·  EB*     	EB*     	Eclipsing binary     
12.13.01.01      	  ·  ·  ·  EB*Algol     	Al*     	Eclipsing binary of Algol type     
12.13.01.02      	  ·  ·  ·  EB*betLyr     	bL*     	Eclipsing binary of beta Lyr type     
12.13.01.03      	  ·  ·  ·  EB*WUMa     	WU*     	Eclipsing binary of W UMa type     
12.13.01.08      	  ·  ·  ·  EB*Planet     	EP*     	Star showing eclipses by its planet     
12.13.02.00      	  ·  ·  SB*     	SB*     	Spectroscopic binary     
12.13.05.00      	  ·  ·  EllipVar     	El*     	Ellipsoidal variable Star     
12.13.10.00      	  ·  ·  Symbiotic*     	Sy*     	Symbiotic Star     
12.13.11.00      	  ·  ·  CataclyV*     	CV*     	Cataclysmic Variable Star     
12.13.11.02      	  ·  ·  ·  DQHer     	DQ*     	CV DQ Her type (intermediate polar)     
12.13.11.03      	  ·  ·  ·  AMHer     	AM*     	CV of AM Her type (polar)     
12.13.11.05      	  ·  ·  ·  Nova-like     	NL*     	Nova-like Star     
12.13.11.06      	  ·  ·  ·  Nova     	No*     	Nova     
12.13.11.07      	  ·  ·  ·  DwarfNova     	DN*     	Dwarf Nova     
12.13.12.00      	  ·  ·  XB     	XB*     	X-ray Binary     
12.13.12.02      	  ·  ·  ·  LMXB     	LXB     	Low Mass X-ray Binary     
